postal_code,latitude,longitude
98003,47.3223,-122.3126
98005,47.6101,-122.2015
98033,47.6769,-122.2060
98037,47.8209,-122.3151
98040,47.5707,-122.2221
98052,47.6740,-122.1215
98055,47.4797,-122.2079
98101,47.6110,-122.333
98102,47.6253,-122.3222
98103,47.6907,-122.3553
98104,47.6015,-122.3343
98105,47.6628,-122.3139
98107,47.6792,-122.3860
98109,47.6256,-122.3344
98110,47.6249,-122.5210
98122,47.6139,-122.2887
98116,47.5667,-122.3868
98118,47.5608,-122.2870
98121,47.6147,-122.3448
98125,47.7086,-122.3232
98144,47.5784,-122.2930
98199,47.6468,-122.4010
